iter	RMSE
0	1.080936084
1	1.048394105
2	1.021356387
3	0.9956382865
4	0.9701338202
5	0.944836447
6	0.9206564316
7	0.8985664714
8	0.877256133
9	0.8559053441
10	0.8371505828
11	0.8176449853
12	0.8011816863
13	0.7824734456
14	0.7673895605
15	0.7519181559
16	0.7366089092
17	0.7236922015
18	0.7100956219
19	0.6974515486
20	0.6863540864
21	0.6760602241
22	0.665920033
23	0.655888168
24	0.6466877611
25	0.6382118612
26	0.6300725118
27	0.6216258435
28	0.6137880655
29	0.6071501633
30	0.6008778505
31	0.5951186327
32	0.5887620604
33	0.5831237382
34	0.5773085771
35	0.5723940653
36	0.5687391742
37	0.5631119736
38	0.5592424826
39	0.5545062274
40	0.5504276976
41	0.5467247225
42	0.5426781907
43	0.5392608781
44	0.5361168991
45	0.5323968632
46	0.5290062254
47	0.525671967
48	0.5229492391
49	0.5207643833
50	0.5182812441
51	0.5154527565
52	0.5136905194
53	0.5114711144
54	0.5091269691
55	0.5068979855
56	0.504741798
57	0.5031258424
58	0.5008818747
59	0.4992875113
60	0.4973060458
61	0.4955848023
62	0.4937180139
63	0.4918656354
64	0.4900380942
65	0.4888490276
66	0.4864842246
67	0.4854796015
68	0.4840283326
69	0.4824783951
70	0.481168771
71	0.4802818373
72	0.4790896019
73	0.4775062284
74	0.4758544763
75	0.4748623273
76	0.4737051057
77	0.4723813678
78	0.4708625937
79	0.4698121809
80	0.4697226659
81	0.4679294693
82	0.4667020614
83	0.465733242
84	0.4644745481
85	0.4631839769
86	0.4623813369
87	0.4616043837
88	0.4606884073
89	0.4595638376
90	0.4586331329
91	0.4573874173
92	0.4565854503
93	0.4555542723
94	0.4547899308
95	0.4535043747
96	0.4525007486
97	0.4512926779
98	0.4509515981
99	0.4499470638
100	0.4487400279
101	0.447573621
102	0.4466613016
103	0.4456795404
104	0.4443306914
105	0.443585856
106	0.4426888107
107	0.4416978804
108	0.4408929061
109	0.4401183521
110	0.4392923134
111	0.4381061902
112	0.4372602021
113	0.4365148693
114	0.435954404
115	0.435327993
116	0.4345088795
117	0.433851178
118	0.432869628
119	0.4316194762
120	0.4306350538
121	0.4302510096
122	0.4294173789
123	0.4287900167
124	0.427867687
125	0.4273777841
126	0.4272462467
127	0.4265409793
128	0.4258127011
129	0.4248130942
130	0.4241523334
131	0.4234383402
132	0.4227336555
133	0.4220978495
134	0.421352356
135	0.4207138688
136	0.42012911
137	0.4196318068
138	0.4190383226
139	0.4182242973
140	0.4174742666
141	0.4166559743
142	0.4160647638
143	0.4153524781
144	0.4147312337
145	0.4136772762
146	0.4129719542
147	0.412292678
148	0.4115929709
149	0.4110942084
150	0.4101609073
151	0.4095153267
152	0.4086206198
153	0.4079050421
154	0.4071217089
155	0.4058964184
156	0.4052282233
157	0.4046846705
158	0.4041202643
159	0.4034033531
160	0.402263715
161	0.401307252
162	0.4004879297
163	0.3995708222
164	0.3990121047
165	0.3980505386
166	0.397451397
167	0.3966945008
168	0.3960946559
169	0.3951572108
170	0.3943133542
171	0.3937707138
172	0.3930001794
173	0.3924252286
174	0.3915020836
175	0.3907780104
176	0.3899054973
177	0.3895372602
178	0.3885292425
179	0.3879041783
180	0.3870760047
181	0.3862082824
182	0.3856810648
183	0.3849987722
184	0.3842211913
185	0.3832676906
186	0.3824994382
187	0.381683431
188	0.3808396525
189	0.379982575
190	0.3792686661
191	0.3785604714
192	0.3773493639
193	0.3769295023
194	0.3758991525
195	0.3753692473
196	0.3748080987
197	0.3741700685
198	0.3735300313
199	0.3730950742
200	0.3726073166
201	0.3719568443
202	0.3709213413
203	0.3703472986
204	0.3697252311
205	0.3688249782
206	0.368095598
207	0.3670217141
208	0.3663939318
209	0.3657735586
210	0.3648327678
211	0.3642812819
212	0.3638084443
213	0.363102051
214	0.3625755624
215	0.3620317696
216	0.3613469246
217	0.3606013644
218	0.35991059
219	0.3590090018
220	0.3585479897
221	0.3576093593
222	0.3568358592
223	0.3563987232
224	0.3559261094
225	0.3551918736
226	0.3545845582
227	0.353932039
228	0.3533220583
229	0.3529287839
230	0.3524069626
231	0.3520614442
232	0.3512576668
233	0.3508571
234	0.3498632616
235	0.3494059336
236	0.3488071579
237	0.3481932217
238	0.3474114801
239	0.3467088394
240	0.3462746116
241	0.3456609893
242	0.3447499441
243	0.34409204
244	0.3437069846
245	0.3433163519
246	0.3426661065
247	0.3420703618
248	0.3411149693
249	0.3408154108
250	0.3403420887
251	0.3395578556
252	0.3386730972
253	0.3380881382
254	0.3375343507
255	0.3367546073
256	0.3359803212
257	0.3353834153
258	0.3347173145
259	0.3340795167
260	0.333430968
261	0.3327783637
262	0.3320009586
263	0.331372203
264	0.330590442
265	0.3295627922
266	0.3289384506
267	0.3283388918
268	0.3278158253
269	0.3274869656
270	0.3266106953
271	0.3258465529
272	0.325042881
273	0.3243289153
274	0.3238026847
275	0.3230457357
276	0.3225844412
277	0.3220663103
278	0.3214762313
279	0.3206047561
280	0.3198845222
281	0.3192328915
282	0.3184819865
283	0.3178623711
284	0.3169716742
285	0.3163162886
286	0.3159187226
287	0.315298416
288	0.3147639463
289	0.314314017
290	0.3136399626
291	0.3130088812
292	0.3123298918
293	0.3116659194
294	0.3110897538
295	0.3105376021
296	0.3099735872
297	0.3093398612
298	0.3088534958
299	0.3082548426
300	0.3077697814
301	0.3071536442
302	0.3066234251
303	0.3057951366
304	0.3052339957
305	0.3046785178
306	0.3040749371
307	0.3035338672
308	0.3028683537
309	0.3021950403
310	0.3016671069
311	0.3011623579
312	0.3006789048
313	0.3001823552
314	0.2996841572
315	0.2991642355
316	0.2985584749
317	0.2981426867
318	0.2974530081
