iter	Passed	Remaining
0	2	1116
1	4	991
2	7	968
3	9	918
4	11	875
5	13	865
6	15	843
7	16	819
8	18	802
9	20	793
10	22	782
11	24	777
12	25	763
13	28	772
14	30	777
15	32	783
16	34	779
17	36	768
18	37	758
19	39	749
20	41	742
21	42	734
22	44	726
23	46	721
24	47	719
25	49	713
26	51	707
27	52	701
28	54	696
29	56	692
30	57	687
31	59	682
32	60	678
33	62	674
34	64	671
35	66	669
36	67	667
37	69	663
38	71	661
39	73	658
40	74	656
41	76	655
42	78	652
43	80	651
44	82	647
45	83	643
46	85	641
47	86	637
48	88	634
49	90	630
50	91	628
51	93	625
52	94	618
53	96	615
54	97	613
55	99	612
56	101	610
57	103	608
58	104	605
59	106	602
60	107	599
61	109	596
62	111	594
63	112	592
64	114	589
65	116	587
66	117	584
67	119	582
68	120	579
69	122	576
70	123	573
71	125	570
72	127	569
73	129	570
74	131	570
75	133	569
76	135	567
77	136	565
78	138	562
79	140	560
80	140	553
81	142	551
82	144	550
83	145	547
84	147	545
85	148	543
86	150	540
87	151	538
88	153	536
89	154	533
90	156	532
91	158	530
92	160	528
93	161	526
94	163	523
95	164	521
96	166	519
97	167	516
98	168	511
99	169	509
100	171	507
101	173	505
102	174	503
103	176	501
104	177	499
105	179	497
106	180	495
107	182	493
108	184	491
109	185	489
110	187	487
111	189	486
112	191	485
113	192	483
114	194	481
115	195	479
116	197	477
117	199	475
118	200	473
119	202	471
120	203	469
121	205	468
122	207	466
123	208	464
124	210	462
125	211	460
126	212	456
127	213	454
128	215	452
129	217	450
130	218	448
131	220	446
132	221	445
133	223	443
134	225	442
135	227	440
136	228	438
137	230	436
138	231	434
139	233	433
140	235	431
141	236	429
142	238	427
143	239	425
144	241	423
145	242	421
146	244	420
147	245	418
148	247	416
149	248	414
150	249	412
151	251	410
152	253	408
153	254	406
154	256	404
155	257	402
156	258	400
157	260	399
158	262	397
159	263	395
160	265	394
161	266	392
162	268	390
163	269	388
164	271	386
165	272	384
166	274	382
167	275	380
168	276	378
169	278	376
170	279	374
171	281	372
172	282	370
173	284	369
174	286	367
175	287	366
176	289	364
177	290	362
178	292	360
179	293	358
180	294	356
181	296	354
182	297	352
183	299	351
184	300	349
185	302	347
186	303	346
187	305	344
188	306	342
189	307	340
190	309	338
191	310	336
192	312	334
193	313	332
194	315	331
195	316	329
196	318	327
197	319	326
198	321	324
199	322	322
200	323	320
201	325	318
202	326	317
203	328	315
204	329	313
205	331	312
206	332	310
207	334	308
208	335	307
209	337	305
210	338	303
211	340	301
212	341	300
213	343	298
214	344	296
215	346	294
216	347	293
217	349	291
218	350	289
219	352	288
220	353	286
221	354	284
222	356	282
223	357	280
224	358	279
225	360	277
226	361	275
227	363	274
228	364	272
229	366	270
230	367	268
231	369	267
232	370	265
233	371	263
234	373	262
235	374	260
236	376	258
237	377	256
238	378	255
239	380	253
240	381	251
241	383	250
242	384	248
243	385	246
244	387	244
245	388	243
246	390	241
247	392	240
248	394	238
249	395	237
250	397	235
251	398	233
252	399	232
253	401	230
254	402	228
255	403	227
256	405	225
257	406	223
258	407	221
259	409	220
260	410	218
261	412	217
262	413	215
263	414	213
264	416	212
265	417	210
266	419	208
267	420	207
268	421	205
269	423	203
270	424	202
271	425	200
272	427	198
273	429	197
274	430	195
275	431	194
276	433	192
277	434	190
278	436	189
279	437	187
280	438	185
281	440	184
282	441	182
283	443	181
284	445	179
285	446	178
286	447	176
287	449	174
288	450	173
289	452	171
290	453	169
291	454	168
292	456	166
293	457	164
294	459	163
295	460	161
296	462	160
297	463	158
298	465	157
299	466	155
300	467	153
301	469	152
302	471	150
303	472	149
304	473	147
305	475	145
306	476	144
307	477	142
308	479	141
309	480	139
310	482	137
311	483	136
312	485	134
313	486	133
314	487	131
315	489	130
316	490	128
317	492	126
318	493	125
319	494	123
320	496	122
321	497	120
322	498	118
323	500	117
324	501	115
325	503	114
326	504	112
327	506	111
328	507	109
329	508	107
330	510	106
331	511	104
332	512	103
333	514	101
334	516	100
335	518	98
336	519	97
337	521	95
338	522	94
339	523	92
340	525	90
341	526	89
342	527	87
343	529	86
344	530	84
345	532	83
346	533	81
347	535	79
348	536	78
349	537	76
350	539	75
351	540	73
352	541	72
353	543	70
354	544	69
355	546	67
356	547	65
357	549	64
358	550	62
359	551	61
360	553	59
361	554	58
362	556	56
363	557	55
364	558	53
365	560	52
366	561	50
367	562	48
368	564	47
369	566	45
370	567	44
371	569	42
372	570	41
373	571	39
374	573	38
375	574	36
376	575	35
377	577	33
378	578	32
379	580	30
380	581	29
381	583	27
382	584	25
383	585	24
384	587	22
385	588	21
386	590	19
387	591	18
388	593	16
389	594	15
390	596	13
391	597	12
392	599	10
393	600	9
394	602	7
395	603	6
396	604	4
397	606	3
398	607	1
399	609	0
